Full title,Title29,Title20,ISSN,EISSN,Category name
JOURNAL OF FORENSIC PSYCHIATRY & PSYCHOLOGY,J FORENSIC PSYCHIATRY PSYCHOL,J FORENSIC PSYCHI PS,1478-9949,1478-9957,PSYCHIATRY/PSYCHOLOGY
Journal of Forensic Psychology Practice,J FORENSIC PSYCHOL PRACT,J FORENSIC PSYCHOL P,1522-8932,1522-9092,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF GAMBLING STUDIES,J GAMBL STUD,J GAMBL STUD,1050-5350,1573-3602,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF GENERAL PSYCHOLOGY,J GEN PSYCHOL,J GEN PSYCHOL,0022-1309,1940-0888,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF GENETIC PSYCHOLOGY,J GENET PSYCHOL,J GENET PSYCHOL,0022-1325,1940-0896,PSYCHIATRY/PSYCHOLOGY
Journal of Happiness Studies,J HAPPINESS STUD,J HAPPINESS STUD,1389-4978,1573-7780,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF HEALTH PSYCHOLOGY,J HEALTH PSYCHOL,J HEALTH PSYCHOL,1359-1053,1461-7277,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF HOMOSEXUALITY,J HOMOSEXUAL,J HOMOSEXUAL,0091-8369,1540-3602,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF HUMANISTIC PSYCHOLOGY,J HUM PSYCHOL,J HUMANIST PSYCHOL,0022-1678,1552-650X,PSYCHIATRY/PSYCHOLOGY
Journal of Individual Differences,J INDIVID DIF,J INDIVID DIFFER,1614-0001,2151-2299,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF INTELLECTUAL & DEVELOPMENTAL DISABILITY,J INTELLECT DEV DISABIL,J INTELLECT DEV DIS,1366-8250,1469-9532,PSYCHIATRY/PSYCHOLOGY
Journal of Investigative Psychology and Offender Profiling,J INVESTIG PSYCHOL OFFENDER P,J INVEST PSYCHOL OFF,1544-4759,1544-4767,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,J LANG SOC PSYCHOL,J LANG SOC PSYCHOL,0261-927X,1552-6526,PSYCHIATRY/PSYCHOLOGY
Journal of Latina-o Psychology,J LAT O PSYCHOL,J LAT O PSYCHOL,2168-1678,2163-0070,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF LOSS & TRAUMA,J LOSS TRAUMA,J LOSS TRAUMA,1532-5024,1532-5032,PSYCHIATRY/PSYCHOLOGY
Journal of Managerial Psychology,J MANAG PSYCHOL,J MANAGE PSYCHOL,0268-3946,1758-7778,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF MARITAL AND FAMILY THERAPY,J MARITAL FAM THER,J MARITAL FAM THER,0194-472X,1752-0606,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF MATHEMATICAL PSYCHOLOGY,J MATH PSYCHOL,J MATH PSYCHOL,0022-2496,1096-0880,PSYCHIATRY/PSYCHOLOGY
Journal of Media Psychology-Theories Methods and Applications,J MEDIA PSYCHOL,J MEDIA PSYCHOL-GER,1864-1105,2151-2388,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF MEMORY AND LANGUAGE,J MEM LANG,J MEM LANG,0749-596X,1096-0821,PSYCHIATRY/PSYCHOLOGY
Journal of Mental Health,J MENT HEAL,J MENT HEALTH,0963-8237,1360-0567,PSYCHIATRY/PSYCHOLOGY
Journal of Mental Health Policy and Economics,J MENT HEALTH POLICY ECON,J MENT HEALTH POLICY,1091-4358,1099-176X,PSYCHIATRY/PSYCHOLOGY
Journal of Mental Health Research in Intellectual Disabilities,J MENT HEALTH RES INTELLECT D,J MENT HEALTH RES IN,1931-5864,1931-5872,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF MOTOR BEHAVIOR,J MOTOR BEHAV,J MOTOR BEHAV,0022-2895,1940-1027,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF MULTICULTURAL COUNSELING AND DEVELOPMENT,J MULTICULT COUNS DEVELOPMENT,J MULTICULT COUNS D,0883-8534,2161-1912,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF NERVOUS AND MENTAL DISEASE,J NERV MENT DIS,J NERV MENT DIS,0022-3018,1539-736X,PSYCHIATRY/PSYCHOLOGY
Journal of Neuropsychology,J NEUROPSYCHOL,J NEUROPSYCHOL,1748-6645,1748-6653,PSYCHIATRY/PSYCHOLOGY
Journal of Neuroscience Psychology and Economics,J NEUROSCI PSYCHOL ECON,J NEUROSCI PSYCHOL E,1937-321X,2151-318X,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF NONVERBAL BEHAVIOR,J NONVERBAL BEHAV,J NONVERBAL BEHAV,0191-5886,1573-3653,PSYCHIATRY/PSYCHOLOGY
Journal of Obsessive-Compulsive and Related Disorders,J OBSESSIVE-COMPULS RELAT DIS,J OBSESS-COMPULS REL,2211-3649,null,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,J OCCUP ORGAN PSYCHOL,J OCCUP ORGAN PSYCH,0963-1798,2044-8325,PSYCHIATRY/PSYCHOLOGY
Journal of Occupational Health Psychology,J OCCUP HEALTH PSYCHOL,J OCCUP HEALTH PSYCH,1076-8998,1939-1307,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF ORGANIZATIONAL BEHAVIOR,J ORGAN BEHAV,J ORGAN BEHAV,0894-3796,1099-1379,PSYCHIATRY/PSYCHOLOGY
Journal of Pacific Rim Psychology,J PAC RIM PSYCHOL,J PAC RIM PSYCHOL,1834-4909,1834-4909,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PEDIATRIC PSYCHOLOGY,J PEDIAT PSYCHOL,J PEDIATR PSYCHOL,0146-8693,1465-735X,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,J PERSONAL SOC PSYCHOL,J PERS SOC PSYCHOL,0022-3514,1939-1315,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PERSONALITY ASSESSMENT,J PERSONAL ASSESS,J PERS ASSESS,0022-3891,1532-7752,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PERSONALITY DISORDERS,J PERS DISORD,J PERS DISORD,0885-579X,1943-2763,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PERSONALITY,J PERSONALITY,J PERS,0022-3506,1467-6494,PSYCHIATRY/PSYCHOLOGY
Journal of Personnel Psychology,J PERS PSYCHOL,J PERS PSYCHOL,1866-5888,2190-5150,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,J POSIT BEHAV INTERV,J POSIT BEHAV INTERV,1098-3007,1538-4772,PSYCHIATRY/PSYCHOLOGY
Journal of Positive Psychology,J POSIT PSYCHOL,J POSIT PSYCHOL,1743-9760,1743-9779,PSYCHIATRY/PSYCHOLOGY
Journal of Psychiatric Practice,J PSYCHIATR PRACT,J PSYCHIATR PRACT,1527-4160,1538-1145,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PSYCHIATRIC RESEARCH,J PSYCHIATR RES,J PSYCHIATR RES,0022-3956,1879-1379,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PSYCHIATRY & NEUROSCIENCE,J PSYCHIATR NEUROSCI,J PSYCHIATR NEUROSCI,1180-4882,1488-2434,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PSYCHOACTIVE DRUGS,J PSYCHOACTIVE DRUG,J PSYCHOACTIVE DRUGS,0279-1072,2159-9777,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT,J PSYCHOEDUC ASSESS,J PSYCHOEDUC ASSESS,0734-2829,1557-5144,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PSYCHOLINGUISTIC RESEARCH,J PSYCHOLINGUIST RES,J PSYCHOLINGUIST RES,0090-6905,1573-6555,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PSYCHOLOGY AND THEOLOGY,J PSYCHOL THEOL,J PSYCHOL THEOL,0091-6471,2328-1162,PSYCHIATRY/PSYCHOLOGY
Journal of Psychology in Africa,J PSYCHOL AFR,J PSYCHOL AFR,1433-0237,1815-5626,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PSYCHOLOGY,J PSYCHOL,J PSYCHOL,0022-3980,1940-1019,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT,J PSYCHOPATHOL BEHAV ASSESS,J PSYCHOPATHOL BEHAV,0882-2689,1573-3505,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES,J PSYCHOSOC NURS MENT HEALTH,J PSYCHOSOC NURS MEN,0279-3695,1938-2413,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PSYCHOSOCIAL ONCOLOGY,J PSYCHOSOC ONCOL,J PSYCHOSOC ONCOL,0734-7332,1540-7586,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PSYCHOSOMATIC OBSTETRICS & GYNECOLOGY,J PSYCHOSOM OBSTET GYNECOL,J PSYCHOSOM OBST GYN,0167-482X,1743-8942,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF PSYCHOSOMATIC RESEARCH,J PSYCHOSOM RES,J PSYCHOSOM RES,0022-3999,1879-1360,PSYCHIATRY/PSYCHOLOGY
Journal of Rational-Emotive and Cognitive-Behavior Therapy,J RATION-EMOT COGN-BEHAV THER,J RATION-EMOT COGN-B,0894-9085,1573-6563,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,J REPROD INFANT PSYCHOL,J REPROD INFANT PSYC,0264-6838,1469-672X,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF RESEARCH IN PERSONALITY,J RES PERSONAL,J RES PERS,0092-6566,1095-7251,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF RESEARCH ON ADOLESCENCE,J RES ADOLESCE,J RES ADOLESCENCE,1050-8392,1532-7795,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF SCHOOL PSYCHOLOGY,J SCH PSYCHOL,J SCHOOL PSYCHOL,0022-4405,1873-3506,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF SEX & MARITAL THERAPY,J SEX MAR THER,J SEX MARITAL THER,0092-623X,1521-0715,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF SEX RESEARCH,J SEX RES,J SEX RES,0022-4499,1559-8519,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,J SOC CLIN PSYCHOL,J SOC CLIN PSYCHOL,0736-7236,null,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF SOCIAL PSYCHOLOGY,J SOC PSYCHOL,J SOC PSYCHOL,0022-4545,1940-1183,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,J SPORT EXERCISE PSYCHOL,J SPORT EXERCISE PSY,0895-2779,1543-2904,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,J AMER ACAD CHILD ADOLESC PSY,J AM ACAD CHILD PSY,0890-8567,1527-5418,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW,J AM ACAD PSYCHIATRY LAW,J AM ACAD PSYCHIATRY,1093-6793,1943-3662,PSYCHIATRY/PSYCHOLOGY
Journal of the American Psychiatric Nurses Association,J AM PSYCH NURSES ASSOC,J AM PSYCHIAT NURSES,1078-3903,1532-5725,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION,J AMER PSYCHOANAL ASSN,J AM PSYCHOANAL ASS,0003-0651,1941-2460,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,J EXP ANAL BEHAV,J EXP ANAL BEHAV,0022-5002,1938-3711,PSYCHIATRY/PSYCHOLOGY
Journal of Trauma & Dissociation,J TRAUMA DISSOCIATION,J TRAUMA DISSOCIATIO,1529-9732,1529-9740,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF TRAUMATIC STRESS,J TRAUMA STRESS,J TRAUMA STRESS,0894-9867,1573-6598,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF VOCATIONAL BEHAVIOR,J VOCAT BEHAV,J VOCAT BEHAV,0001-8791,1095-9084,PSYCHIATRY/PSYCHOLOGY
Journal of Work and Organizational Psychology-Revista de Psicologia del Trabajo y de las Organizaciones,J WORK ORGAN PSYCHOL,J WORK ORGAN PSYCHOL,1576-5962,2174-0534,PSYCHIATRY/PSYCHOLOGY
JOURNAL OF YOUTH AND ADOLESCENCE,J YOUTH ADOLESCENCE,J YOUTH ADOLESCENCE,0047-2891,1573-6601,PSYCHIATRY/PSYCHOLOGY
Judgment and Decision Making,JUDGM DECIS MAK,JUDGM DECIS MAK,1930-2975,1930-2975,PSYCHIATRY/PSYCHOLOGY
KINDHEIT UND ENTWICKLUNG,KINDH ENTWICKL,KINDH ENTWICKL,0942-5403,2190-6246,PSYCHIATRY/PSYCHOLOGY
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,KOLNER Z SOZIOL SOZIALPSYCHOL,KOLNER Z SOZIOL SOZ,0023-2653,1861-891X,PSYCHIATRY/PSYCHOLOGY
Lancet Psychiatry,LANCET PSYCHIATRY,LANCET PSYCHIAT,2215-0374,null,PSYCHIATRY/PSYCHOLOGY
Language Cognition and Neuroscience,LANG COGN NEUROSCI,LANG COGN NEUROSCI,2327-3798,2327-3801,PSYCHIATRY/PSYCHOLOGY
LATERALITY,LATERALITY,LATERALITY,1357-650X,1464-0678,PSYCHIATRY/PSYCHOLOGY
LAW AND HUMAN BEHAVIOR,LAW HUM BEHAV,LAW HUMAN BEHAV,0147-7307,1573-661X,PSYCHIATRY/PSYCHOLOGY
LEARNING AND INDIVIDUAL DIFFERENCES,LEARN INDIVID DIFFER,LEARN INDIVID DIFFER,1041-6080,1873-3425,PSYCHIATRY/PSYCHOLOGY
LEARNING AND MOTIVATION,LEARN MOTIV,LEARN MOTIV,0023-9690,1095-9122,PSYCHIATRY/PSYCHOLOGY
LEARNING & BEHAVIOR,LEARN BEHAV,LEARN BEHAV,1543-4494,1543-4508,PSYCHIATRY/PSYCHOLOGY
LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,LEGAL CRIMINOL PSYCHOL,LEGAL CRIMINOL PSYCH,1355-3259,2044-8333,PSYCHIATRY/PSYCHOLOGY
MEASUREMENT AND EVALUATION IN COUNSELING AND DEVELOPMENT,MEAS EVAL COUNS DEVELOP,MEAS EVAL COUNS DEV,0748-1756,1947-6302,PSYCHIATRY/PSYCHOLOGY
MEDIA PSYCHOLOGY,MEDIA PSYCHOL,MEDIA PSYCHOL,1521-3269,1532-785X,PSYCHIATRY/PSYCHOLOGY
MEMORY & COGNITION,MEM COGNITION,MEM COGNITION,0090-502X,1532-5946,PSYCHIATRY/PSYCHOLOGY
MEMORY,MEMORY,MEMORY,0965-8211,1464-0686,PSYCHIATRY/PSYCHOLOGY
Mental Health and Physical Activity,MENT HEALTH PHYS ACT,MENT HEALTH PHYS ACT,1755-2966,null,PSYCHIATRY/PSYCHOLOGY
MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,MERRILL-PALMER QUART-J DEVEL,MERRILL PALMER QUART,0272-930X,1535-0266,PSYCHIATRY/PSYCHOLOGY
MILITARY PSYCHOLOGY,MIL PSYCHOL,MIL PSYCHOL,0899-5605,1532-7876,PSYCHIATRY/PSYCHOLOGY
Mindfulness,MINDFULNESS,MINDFULNESS,1868-8527,1868-8535,PSYCHIATRY/PSYCHOLOGY
MIND & LANGUAGE,MIND LANG,MIND LANG,0268-1064,1468-0017,PSYCHIATRY/PSYCHOLOGY
Minnesota Symposia on Child Psychology,MINN SYM CHILD PSYCHOL,MINN SYM CHILD PSYCH,0076-9266,null,PSYCHIATRY/PSYCHOLOGY
MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,MONOGR SOC RES CHILD DEVELOP,MONOGR SOC RES CHILD,0037-976X,1540-5834,PSYCHIATRY/PSYCHOLOGY
MOTIVATION AND EMOTION,MOTIV EMOTION,MOTIV EMOTION,0146-7239,1573-6644,PSYCHIATRY/PSYCHOLOGY
Multisensory Research,MULTISENS RES,MULTISENS RES,2213-4794,2213-4808,PSYCHIATRY/PSYCHOLOGY
MULTIVARIATE BEHAVIORAL RESEARCH,MULTIVARIATE BEHAV RES,MULTIVAR BEHAV RES,0027-3171,1532-7906,PSYCHIATRY/PSYCHOLOGY
MUSICAE SCIENTIAE,MUSIC SCI,MUSIC SCI,1029-8649,2045-4147,PSYCHIATRY/PSYCHOLOGY
MUSIC PERCEPTION,MUSIC PERCEPT,MUSIC PERCEPT,0730-7829,null,PSYCHIATRY/PSYCHOLOGY
Nebraska Symposium on Motivation,NEBR SYMP MOTIV,NEBR SYM MOTIV,0146-7875,null,PSYCHIATRY/PSYCHOLOGY
NEUROPSYCHOLOGIA,NEUROPSYCHOLOGIA,NEUROPSYCHOLOGIA,0028-3932,1873-3514,PSYCHIATRY/PSYCHOLOGY
NEUROPSYCHOLOGICAL REHABILITATION,NEUROPSYCHOL REHABIL,NEUROPSYCHOL REHABIL,0960-2011,1464-0694,PSYCHIATRY/PSYCHOLOGY
NEUROPSYCHOLOGY,NEUROPSYCHOLOGY,NEUROPSYCHOLOGY,0894-4105,1931-1559,PSYCHIATRY/PSYCHOLOGY
New Directions for Child and Adolescent Development,NEW DIR CHILD ADOLES DEVELOP,NEW DIR CHILD ADOLES,1534-8687,null,PSYCHIATRY/PSYCHOLOGY
NEW IDEAS IN PSYCHOLOGY,NEW IDEA PSYCHOL,NEW IDEAS PSYCHOL,0732-118X,1873-3522,PSYCHIATRY/PSYCHOLOGY
Nonlinear Dynamics Psychology and Life Sciences,NONLINEAR DYN PSYCHOL LIFE SC,NONLIN DYNAM PSYCHOL,1090-0578,1573-6652,PSYCHIATRY/PSYCHOLOGY
NORDIC JOURNAL OF PSYCHIATRY,NORD J PSYCHIATR,NORD J PSYCHIAT,0803-9488,1502-4725,PSYCHIATRY/PSYCHOLOGY
Nordic Psychology,NORD PSYCHOL,NORD PSYCHOL,1901-2276,1904-0016,PSYCHIATRY/PSYCHOLOGY
OMEGA-JOURNAL OF DEATH AND DYING,OMEGA-J DEATH DYING,OMEGA-J DEATH DYING,0030-2228,1541-3764,PSYCHIATRY/PSYCHOLOGY
Organizational Psychology Review,ORGAN PSYCHOL REV,ORGAN PSYCHOL REV,2041-3866,2041-3874,PSYCHIATRY/PSYCHOLOGY
Parenting-Science and Practice,PARENT-SCI PRACT,PARENT-SCI PRACT,1529-5192,1532-7922,PSYCHIATRY/PSYCHOLOGY
PERCEPTION,PERCEPTION,PERCEPTION,0301-0066,1468-4233,PSYCHIATRY/PSYCHOLOGY
PERCEPTUAL AND MOTOR SKILLS,PERCEPT MOT SKILLS,PERCEPT MOTOR SKILL,0031-5125,1558-688X,PSYCHIATRY/PSYCHOLOGY
PERSONALITY AND INDIVIDUAL DIFFERENCES,PERS INDIV DIFFER,PERS INDIV DIFFER,0191-8869,null,PSYCHIATRY/PSYCHOLOGY
Personality and Mental Health,PERSONAL MENT HEALTH,PERSONAL MENT HEALTH,1932-8621,1932-863X,PSYCHIATRY/PSYCHOLOGY
PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,PERS SOC PSYCHOL BULL,PERS SOC PSYCHOL B,0146-1672,1552-7433,PSYCHIATRY/PSYCHOLOGY
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,PERS SOC PSYCHOL REV,PERS SOC PSYCHOL REV,1088-8683,1532-7957,PSYCHIATRY/PSYCHOLOGY
Personality Disorders-Theory Research and Treatment,PERSONAL DISORD,PERSONAL DISORD,1949-2715,1949-2723,PSYCHIATRY/PSYCHOLOGY
PERSONAL RELATIONSHIPS,PERSONAL RELATIONSHIPS,PERS RELATIONSHIP,1350-4126,1475-6811,PSYCHIATRY/PSYCHOLOGY
PERSONNEL PSYCHOLOGY,PERS PSYCHOL,PERS PSYCHOL,0031-5826,1744-6570,PSYCHIATRY/PSYCHOLOGY
PERSONNEL REVIEW,PERS REV,PERS REV,0048-3486,1758-6933,PSYCHIATRY/PSYCHOLOGY
PERSPECTIVES IN PSYCHIATRIC CARE,PERSPECT PSYCHIATR CARE,PERSPECT PSYCHIATR C,0031-5990,1744-6163,PSYCHIATRY/PSYCHOLOGY
Perspectives on Psychological Science,PERSPECT PSYCHOL SCI,PERSPECT PSYCHOL SCI,1745-6916,1745-6924,PSYCHIATRY/PSYCHOLOGY
PHILOSOPHICAL PSYCHOLOGY,PHILOS PSYCHOL,PHILOS PSYCHOL,0951-5089,1465-394X,PSYCHIATRY/PSYCHOLOGY
POLITICAL PSYCHOLOGY,POLIT PSYCHOL,POLIT PSYCHOL,0162-895X,1467-9221,PSYCHIATRY/PSYCHOLOGY
Pratiques Psychologiques,PRAT PSYCHOL,PRAT PSYCHOL,1269-1763,null,PSYCHIATRY/PSYCHOLOGY
PRAXIS DER KINDERPSYCHOLOGIE UND KINDERPSYCHIATRIE,PRAX KINDERPSYCHOL KINDERPSYC,PRAX KINDERPSYCHOL K,0032-7034,2196-8225,PSYCHIATRY/PSYCHOLOGY
PROFESSIONAL PSYCHOLOGY-RESEARCH AND PRACTICE,PROF PSYCHOL-RES PRACT,PROF PSYCHOL-RES PR,0735-7028,1939-1323,PSYCHIATRY/PSYCHOLOGY
Psicologia-Reflexao e Critica,PSICOL-REFLEX CRIT,PSICOL-REFLEX CRIT,1678-7153,1678-7153,PSYCHIATRY/PSYCHOLOGY
Psicologica,PSICOLOGICA,PSICOLOGICA,0211-2159,1576-8597,PSYCHIATRY/PSYCHOLOGY
PSICOTHEMA,PSICOTHEMA,PSICOTHEMA,0214-9915,1886-144X,PSYCHIATRY/PSYCHOLOGY
Psihologija,PSIHOLOGIJA,PSIHOLOGIJA,0048-5705,null,PSYCHIATRY/PSYCHOLOGY
PSIKHOLOGICHESKII ZHURNAL,PSIKHOL ZH,PSIKHOL ZH,0205-9592,null,PSYCHIATRY/PSYCHOLOGY
PSYCHE-ZEITSCHRIFT FUR PSYCHOANALYSE UND IHRE ANWENDUNGEN,PSYCHE-Z PSYCHOANAL ANWEND,PSYCHE-Z PSYCHOANAL,0033-2623,null,PSYCHIATRY/PSYCHOLOGY
Psychiatria Danubina,PSYCHIATR DANUB,PSYCHIAT DANUB,0353-5053,null,PSYCHIATRY/PSYCHOLOGY
Psychiatria Polska,PSYCHIATR POL,PSYCHIATR POL,0033-2674,null,PSYCHIATRY/PSYCHOLOGY
PSYCHIATRIC ANNALS,PSYCHIAT ANN,PSYCHIAT ANN,0048-5713,1938-2456,PSYCHIATRY/PSYCHOLOGY
PSYCHIATRIC CLINICS OF NORTH AMERICA,PSYCHIAT CLIN N AMER,PSYCHIAT CLIN N AM,0193-953X,1558-3147,PSYCHIATRY/PSYCHOLOGY
PSYCHIATRIC QUARTERLY,PSYCHIAT QUART,PSYCHIAT QUART,0033-2720,1573-6709,PSYCHIATRY/PSYCHOLOGY
PSYCHIATRIC REHABILITATION JOURNAL,PSYCHIATR REHABIL J,PSYCHIATR REHABIL J,1095-158X,1559-3126,PSYCHIATRY/PSYCHOLOGY
PSYCHIATRIC SERVICES,PSYCHIATR SERVICES,PSYCHIAT SERV,1075-2730,1557-9700,PSYCHIATRY/PSYCHOLOGY
PSYCHIATRIE DE L ENFANT,PSYCHIAT ENFANT,PSYCHIAT ENFANT,0079-726X,2102-5320,PSYCHIATRY/PSYCHOLOGY
PSYCHIATRISCHE PRAXIS,PSYCHIAT PRAX,PSYCHIAT PRAX,0303-4259,1439-0876,PSYCHIATRY/PSYCHOLOGY
Psychiatry and Clinical Psychopharmacology,PSYCHIATRY CLIN PSYCHOPHARMAC,PSYCHIAT CLIN PSYCH,2475-0573,2475-0581,PSYCHIATRY/PSYCHOLOGY
PSYCHIATRY-INTERPERSONAL AND BIOLOGICAL PROCESSES,PSYCHIATRY,PSYCHIATRY,0033-2747,1943-281X,PSYCHIATRY/PSYCHOLOGY
Psychiatry Investigation,PSYCHIATRY INVESTIG,PSYCHIAT INVEST,1738-3684,1976-3026,PSYCHIATRY/PSYCHOLOGY
Psychiatry Psychology and Law,PSYCHIATRY PSYCHOL LAW,PSYCHIAT PSYCHOL LAW,1321-8719,1934-1687,PSYCHIATRY/PSYCHOLOGY
PSYCHIATRY RESEARCH,PSYCHIAT RES,PSYCHIAT RES,0165-1781,null,PSYCHIATRY/PSYCHOLOGY
PsyCh Journal,PSYCH J,PSYCH J,2046-0252,2046-0260,PSYCHIATRY/PSYCHOLOGY
PSYCHOANALYTIC DIALOGUES,PSYCHOANAL DIALOGUES,PSYCHOANAL DIALOGUES,1048-1885,1940-9222,PSYCHIATRY/PSYCHOLOGY
PSYCHOANALYTIC INQUIRY,PSYCHOANAL INQ,PSYCHOANAL INQ,0735-1690,1940-9133,PSYCHIATRY/PSYCHOLOGY
PSYCHOANALYTIC PSYCHOLOGY,PSYCHOANAL PSYCHOL,PSYCHOANAL PSYCHOL,0736-9735,1939-1331,PSYCHIATRY/PSYCHOLOGY
PSYCHOANALYTIC QUARTERLY,PSYCHOANAL QUART,PSYCHOANAL QUART,0033-2828,null,PSYCHIATRY/PSYCHOLOGY
Psychoanalytic Study of the Child,PSYCHOANAL STUD CHILD,PSYCHOANAL STUD CHIL,0079-7308,null,PSYCHIATRY/PSYCHOLOGY
Psychogeriatrics,PSYCHOGERIATRICS,PSYCHOGERIATRICS,1346-3500,1479-8301,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGIA,PSYCHOLOGIA,PSYCHOLOGIA,0033-2852,1347-5916,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGICA BELGICA,PSYCHOL BELG,PSYCHOL BELG,0033-2879,0033-2879,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGICAL ASSESSMENT,PSYCHOL ASSESSMENT,PSYCHOL ASSESSMENT,1040-3590,1939-134X,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,PSYCHOL BULL,0033-2909,1939-1455,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGICAL INQUIRY,PSYCHOL INQ,PSYCHOL INQ,1047-840X,1532-7965,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGICAL MEDICINE,PSYCHOL MED,PSYCHOL MED,0033-2917,1469-8978,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGICAL METHODS,PSYCHOL METHODS,PSYCHOL METHODS,1082-989X,1939-1463,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGICAL RECORD,PSYCHOL REC,PSYCHOL REC,0033-2933,2163-3452,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGICAL REPORTS,PSYCHOL REP,PSYCHOL REP,0033-2941,1558-691X,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG,PSYCHOL RES-PSYCHOL FORSCH,PSYCHOL RES-PSYCH FO,0340-0727,1430-2772,PSYCHIATRY/PSYCHOLOGY
PSYCHOLOGICAL REVIEW,PSYCHOL REV,PSYCHOL REV,0033-295X,1939-1471,PSYCHIATRY/PSYCHOLOGY
